twitterProfileId,username,displayName,avatarUrl,followersCount,kolScore,smartFollowersCount,followedAt,tags
1268186020106960897,0xjaime,0xJaime.eth,https://pbs.twimg.com/profile_images/1641557721018249221/XAiFGa02_200x200.png,77541,0,0,2024-08-30T04:57:56.634Z,
1437619292640448512,SneakyninjaNFTs,sneakyninjapants (head bozo),https://pbs.twimg.com/profile_images/1898103060570030083/CoMgP19x_200x200.jpg,76678,0,0,2024-09-11T22:12:22.855Z,
1359150440663949319,Ed_x0101,Ed_x區塊日記🇭🇰,https://pbs.twimg.com/profile_images/1921379700305276928/8vRNtAga_200x200.jpg,76454,0,0,2024-09-11T22:34:00.588Z,
1214757469785747457,ripchillpill,Chill Pill 🍡,https://pbs.twimg.com/profile_images/1919371350499622912/HAi37wK0_200x200.jpg,75212,0,0,2025-03-19T00:03:11.553Z,
1363528579078893570,SpeculatorArt,Sophisticated AI Speculator,https://pbs.twimg.com/profile_images/1704487889176821761/dvD3eCF7_200x200.jpg,72138,0,0,2025-01-15T21:53:52.223Z,
31936063,NFTWhistledown,LADY WHISTLΞD◎WN,https://pbs.twimg.com/profile_images/1785732484635803648/bfQYH7cI_200x200.jpg,70189,0,0,2024-09-11T22:46:51.802Z,
2466586573,harto_fr,Harto,https://pbs.twimg.com/profile_images/1707036717067165696/XsEaosnQ_200x200.jpg,67582,0,0,2024-09-11T21:52:57.084Z,
1522464953650745350,DimitriDotEth,dimi,https://pbs.twimg.com/profile_images/1896526441833021441/w8-mPdhz_200x200.jpg,67142,0,0,2024-09-11T22:37:30.178Z,
46801378,Xeer,Xeer,https://pbs.twimg.com/profile_images/1922299320679759872/G9JCdiqL_200x200.jpg,65111,0,0,2025-01-18T02:54:01.429Z,
1268336757675679745,brommmyy,Brommy,https://pbs.twimg.com/profile_images/1811913726339043329/bzpwlt37_200x200.jpg,64314,0,0,2024-09-11T22:28:55.852Z,
1448248067480698881,fridgeintheopen,openthefridge ❄️,https://pbs.twimg.com/profile_images/1887265152766242816/ZghIZ4Ac_200x200.jpg,61764,0,0,2024-09-11T21:50:03.963Z,
3139622904,cr0ssETH,cr0ss.eth,https://pbs.twimg.com/profile_images/1852549392156270592/ZwDnnB3q_200x200.jpg,61435,0,0,2024-08-30T04:57:56.634Z,
34755018,EricNelson,Blessed,https://pbs.twimg.com/profile_images/1764270259840974848/6ijh9gqd_200x200.jpg,60190,0,0,2025-01-24T00:09:29.694Z,
1387820020403740674,camolNFT,camol,https://pbs.twimg.com/profile_images/1881027124028481536/l5kOGGWW_200x200.jpg,58103,0,0,2025-01-15T21:50:16.035Z,
492308753,0xBrando,Brando,https://pbs.twimg.com/profile_images/1863731934985347072/oY1pbtiQ_200x200.jpg,57128,0,0,2024-09-11T21:23:43.622Z,
968409515073794048,markus9x,Mark,https://pbs.twimg.com/profile_images/1908539919980707840/HSDW2-t1_200x200.jpg,55572,0,0,2024-08-30T04:57:56.634Z,
1441128089983979529,0xstarkx,stark,https://pbs.twimg.com/profile_images/1917928672150896640/ekIZPo8__200x200.jpg,55088,0,0,2024-08-30T04:57:56.634Z,
996220800431669248,EinsteinYipie,爱因斯坦一撇🇨🇳,https://pbs.twimg.com/profile_images/1871177198725636096/Mz4xWCzP_200x200.jpg,54741,0,0,2025-01-15T00:13:00.193Z,
45167863,_ShaniceBest,ProfitsOverWages 🧽🇩🇴,https://pbs.twimg.com/profile_images/1922362143187357696/TMBkZnhH_200x200.jpg,53668,0,0,2024-09-28T00:03:28.193Z,
67336197,evantan,evantan,https://pbs.twimg.com/profile_images/1719240589592645632/CNl3qu1I_200x200.png,51616,0,0,2024-09-11T21:49:34.129Z,
4142777621,shivst3r,Shiv,https://pbs.twimg.com/profile_images/1920524615824101376/hdjLTV9w_200x200.jpg,49942,0,0,2024-08-30T04:57:56.634Z,
1269095159192485896,0xUnihax0r,Unihax0r,https://pbs.twimg.com/profile_images/1905866798643425280/56p8uBt3_200x200.jpg,49905,0,0,2024-09-11T21:25:12.410Z,
33149981,MediaGiraffes,UNCLE 🏴‍☠️ EDDIE 🫵😹,https://pbs.twimg.com/profile_images/1919841269066395648/6ikwm7Sb_200x200.jpg,49448,0,0,2024-09-11T22:44:43.082Z,
298419670,DJTRIXUK,DJ TRIX UK,https://pbs.twimg.com/profile_images/1895534637793021953/LLKGdP2N_200x200.jpg,49083,0,0,2024-09-11T22:40:44.646Z,
1479782723325595649,AlexIsBuilding,🇦🇺 Alex is Building,https://pbs.twimg.com/profile_images/1620524745904226305/7HTy47J__200x200.jpg,45798,0,0,2024-10-30T08:06:08.146Z,
119749448,ImGroot66,ImGroot 🧲,https://pbs.twimg.com/profile_images/1889454535376248832/O0w1EKEN_200x200.jpg,44687,0,0,2024-09-11T22:38:42.370Z,
